Order,President,Birthdate,Days in Office,Net Favorability
1,George Washington,1732-02-22,"2,865",92
2,John Adams,1735-10-30,"1,460",65
3,Thomas Jefferson,1743-04-13,"2,922",85
4,James Madison,1751-03-16,"2,922",65
5,James Monroe,1758-04-28,"2,922",39
6,John Quincy Adams,1767-07-11,"1,461",52
7,Andrew Jackson,1767-03-15,"2,922",55
8,Martin Van Buren,1782-12-05,"1,461",4
9,William Henry Harrison,1773-02-09,31,5
10,John Tyler,1790-03-29,"1,430",-6
11,James K. Polk,1795-11-02,"1,461",6
12,Zachary Taylor,1784-11-24,492,8
13,Millard Fillmore,1800-01-07,969,-8
14,Franklin Pierce,1804-11-23,"1,461",-8
15,James Buchanan,1791-04-23,"1,461",-4
16,Abraham Lincoln,1809-02-12,"1,503",88
17,Andrew Johnson,1808-12-29,"1,419",23
18,Ulysses S. Grant,1822-04-27,"2,922",34
19,Rutherford B. Hayes,1822-10-04,"1,461",19
20,James A. Garfield,1831-11-19,199,26
21,Chester A. Arthur,1829-10-05,"1,262",26
22,Grover Cleveland,1837-03-18,"2,922",14
23,Benjamin Harrison,1833-08-20,"1,461",-5
25,William McKinley,1843-01-29,"1,654",18
26,Theodore Roosevelt,1858-10-27,"2,728",76
27,William Howard Taft,1857-09-15,"1,461",42
28,Woodrow Wilson,1856-12-28,"2,922",37
29,Warren G. Harding,1865-11-02,881,-4
30,Calvin Coolidge,1872-07-04,"2,041",7
31,Herbert Hoover,1874-08-10,"1,461",14
32,Franklin D. Roosevelt,1882-01-30,"4,422",69
33,Harry S Truman,1884-05-08,"2,840",56
34,Dwight D. Eisenhower,1890-10-14,"2,922",57
35,John Kennedy,1917-05-29,"1,036",67
36,Lyndon B. Johnson,1908-08-27,"1,886",3
37,Richard M. Nixon,1913-01-09,"2,027",-28
38,Gerald R. Ford,1913-07-14,895,36
39,Jimmy Carter,1924-10-01,"1,461",23
40,Ronald Reagan,1911-02-06,"2,922",50
41,George H. W. Bush,1924-06-12,"1,461",16
42,William J. Clinton,1946-08-19,"2,922",14
43,George W. Bush,1946-07-06,"2,922",-18
44,Barack Obama,1961-08-04,"2,922",22
